mean_fit_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,mean_test_score,rank_test_score,
0.2078,2,1,2,10,0.5611,106,
1.6722,2,1,2,100,0.6493,92,
16.763,2,1,2,1000,0.6595,85,
0.1899,2,1,5,10,0.5529,108,
15.7596,2,4,10,1000,0.6598,84,
0.6838,10,1,2,10,0.8995,80,
5.9936,10,1,2,100,0.9375,39,
5.3422,10,4,10,100,0.9324,52,
52.9744,10,4,10,1000,0.9333,50,
0.7146,40,1,2,10,0.9062,72,
6.8489,40,1,2,100,0.9466,10,
67.8682,40,1,2,1000,0.9502,2,
0.6901,40,1,5,10,0.9118,59,
6.3381,40,2,5,100,0.9433,19,
63.6879,40,2,5,1000,0.9497,3,
0.6436,40,2,10,10,0.9099,64,
58.5162,40,4,10,1000,0.9415,29,
0.7164,100,1,2,10,0.9078,71,
6.7691,100,1,2,100,0.9466,10,
67.1286,100,1,2,1000,0.9502,1,
0.6881,100,1,5,10,0.9108,61,
6.5383,100,1,5,100,0.9465,12,
65.8718,100,1,5,1000,0.9496,4,
0.6632,100,1,10,10,0.9098,65,
6.3755,100,1,10,100,0.9415,30,
5.9807,100,4,5,100,0.9392,34,
58.9385,100,4,5,1000,0.9426,23,
0.632,100,4,10,10,0.9079,70,
5.9156,100,4,10,100,0.9372,41,
49.4397,100,4,10,1000,0.9416,28,
